"filename", "language", "Log", "LaTeX", "Python", "Java", "Batch", "PowerShell", "Markdown", "Properties", "XSL", "XML", "comment", "blank", "total"
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\ctx_base.py", "Python", 0, 0, 301, 0, 0, 0, 0, 0, 0, 0, 155, 39, 495
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\ctx_fp.py", "Python", 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 7, 46, 254
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\ctx_iv.py", "Python", 0, 0, 455, 0, 0, 0, 0, 0, 0, 0, 12, 85, 552
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\ctx_mp.py", "Python", 0, 0, 692, 0, 0, 0, 0, 0, 0, 0, 564, 84, 1340
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\ctx_mp_python.py", "Python", 0, 0, 787, 0, 0, 0, 0, 0, 0, 0, 251, 110, 1148
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\function_docs.py", "Python", 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 9672, 197, 10053
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\__init__.py", "Python", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 1, 14
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\bessel.py", "Python", 0, 0, 777, 0, 0, 0, 0, 0, 0, 0, 284, 48, 1109
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\elliptic.py", "Python", 0, 0, 508, 0, 0, 0, 0, 0, 0, 0, 903, 25, 1436
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\expintegrals.py", "Python", 0, 0, 375, 0, 0, 0, 0, 0, 0, 0, 23, 28, 426
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\factorials.py", "Python", 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 38, 11, 188
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\functions.py", "Python", 0, 0, 502, 0, 0, 0, 0, 0, 0, 0, 84, 60, 646
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\hypergeometric.py", "Python", 0, 0, 979, 0, 0, 0, 0, 0, 0, 0, 357, 78, 1414
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\orthogonal.py", "Python", 0, 0, 263, 0, 0, 0, 0, 0, 0, 0, 213, 18, 494
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\qfunctions.py", "Python", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 172, 5, 281
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\rszeta.py", "Python", 0, 0, 915, 0, 0, 0, 0, 0, 0, 0, 385, 104, 1404
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\theta.py", "Python", 0, 0, 964, 0, 0, 0, 0, 0, 0, 0, 68, 18, 1050
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\zeta.py", "Python", 0, 0, 888, 0, 0, 0, 0, 0, 0, 0, 223, 44, 1155
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\functions\zetazeros.py", "Python", 0, 0, 792, 0, 0, 0, 0, 0, 0, 0, 197, 30, 1019
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\identification.py", "Python", 0, 0, 333, 0, 0, 0, 0, 0, 0, 0, 474, 38, 845
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\libmp\__init__.py", "Python", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 8, 78
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\libmp\backend.py", "Python", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 18, 14, 116
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\libmp\gammazeta.py", "Python", 0, 0, 1452, 0, 0, 0, 0, 0, 0, 0, 561, 154, 2167
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\libmp\libelefun.py", "Python", 0, 0, 1006, 0, 0, 0, 0, 0, 0, 0, 330, 93, 1429
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\libmp\libhyper.py", "Python", 0, 0, 887, 0, 0, 0, 0, 0, 0, 0, 169, 95, 1151
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\libmp\libintmath.py", "Python", 0, 0, 358, 0, 0, 0, 0, 0, 0, 0, 176, 51, 585
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\libmp\libmpc.py", "Python", 0, 0, 630, 0, 0, 0, 0, 0, 0, 0, 134, 72, 836
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\libmp\libmpf.py", "Python", 0, 0, 993, 0, 0, 0, 0, 0, 0, 0, 283, 139, 1415
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\libmp\libmpi.py", "Python", 0, 0, 704, 0, 0, 0, 0, 0, 0, 0, 156, 76, 936
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\math2.py", "Python", 0, 0, 577, 0, 0, 0, 0, 0, 0, 0, 36, 60, 673
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\matrices\__init__.py", "Python", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\matrices\calculus.py", "Python", 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 346, 11, 532
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\matrices\eigen.py", "Python", 0, 0, 361, 0, 0, 0, 0, 0, 0, 0, 349, 168, 878
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\matrices\eigen_symmetric.py", "Python", 0, 0, 840, 0, 0, 0, 0, 0, 0, 0, 746, 222, 1808
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\matrices\linalg.py", "Python", 0, 0, 365, 0, 0, 0, 0, 0, 0, 0, 375, 53, 793
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\matrices\matrices.py", "Python", 0, 0, 440, 0, 0, 0, 0, 0, 0, 0, 495, 67, 1002
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\rational.py", "Python", 0, 0, 198, 0, 0, 0, 0, 0, 0, 0, 11, 32, 241
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\extratest_gamma.py", "Python", 0, 0, 202, 0, 0, 0, 0, 0, 0, 0, 2, 12, 216
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\extratest_zeta.py", "Python", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\runtests.py", "Python", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 31, 11, 151
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_basic_ops.py", "Python", 0, 0, 414, 0, 0, 0, 0, 0, 0, 0, 8, 24, 446
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_bitwise.py", "Python", 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 6, 15, 189
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_calculus.py", "Python", 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 3, 15, 213
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_compatibility.py", "Python", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 10, 9, 78
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_convert.py", "Python", 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 11, 16, 224
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_diff.py", "Python", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 1, 5, 62
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_division.py", "Python", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 12, 28, 144
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_eigen.py", "Python", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 4, 46, 180
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_eigen_symmetric.py", "Python", 0, 0, 254, 0, 0, 0, 0, 0, 0, 0, 9, 95, 358
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_elliptic.py", "Python", 0, 0, 452, 0, 0, 0, 0, 0, 0, 0, 131, 86, 669
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_fp.py", "Python", 0, 0, 1634, 0, 0, 0, 0, 0, 0, 0, 23, 15, 1672
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_functions.py", "Python", 0, 0, 845, 0, 0, 0, 0, 0, 0, 0, 21, 55, 921
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_functions2.py", "Python", 0, 0, 2250, 0, 0, 0, 0, 0, 0, 0, 82, 53, 2385
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_gammazeta.py", "Python", 0, 0, 629, 0, 0, 0, 0, 0, 0, 0, 27, 37, 693
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_hp.py", "Python", 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 56, 46, 292
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_identify.py", "Python", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_interval.py", "Python", 0, 0, 428, 0, 0, 0, 0, 0, 0, 0, 10, 16, 454
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_levin.py", "Python", 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 10, 15, 154
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_linalg.py", "Python", 0, 0, 265, 0, 0, 0, 0, 0, 0, 0, 21, 47, 333
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_matrices.py", "Python", 0, 0, 216, 0, 0, 0, 0, 0, 0, 0, 17, 21, 254
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_mpmath.py", "Python", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_ode.py", "Python", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 51, 5, 74
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_pickle.py", "Python", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 9, 28
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_power.py", "Python", 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 35, 19, 157
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_quad.py", "Python", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 5, 20, 96
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_rootfinding.py", "Python", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 11, 13, 92
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_special.py", "Python", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 15, 114
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_str.py", "Python", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 6, 2, 15
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_summation.py", "Python", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 6, 52
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_trig.py", "Python", 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 2, 19, 137
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\test_visualization.py", "Python", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 4, 33
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\tests\torture.py", "Python", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 129, 12, 225
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\usertools.py", "Python", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 47, 3, 94
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\mpmath\visualization.py", "Python", 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 86, 11, 314
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\__init__.py", "Python", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 4, 5, 14
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\__main__.py", "Python", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 13, 5, 32
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\__init__.py", "Python", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 6, 20
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\build_env.py", "Python", 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 60, 36, 295
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\cache.py", "Python", 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 78, 46, 288
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\cli\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\cli\autocompletion.py", "Python", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 37, 16, 164
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\cli\base_command.py", "Python", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 22, 36, 215
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\cli\cmdoptions.py", "Python", 0, 0, 767, 0, 0, 0, 0, 0, 0, 0, 102, 141, 1010
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\cli\command_context.py", "Python", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 8, 28
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\cli\main.py", "Python", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 28, 15, 71
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\cli\main_parser.py", "Python", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 17, 23, 88
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\cli\parser.py", "Python", 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 49, 50, 293
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\cli\progress_bars.py", "Python", 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 66, 56, 251
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\cli\req_command.py", "Python", 0, 0, 326, 0, 0, 0, 0, 0, 0, 0, 74, 54, 454
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\cli\spinners.py", "Python", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 18, 27, 158
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\cli\status_codes.py", "Python", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\__init__.py", "Python", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 15, 13, 113
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\cache.py", "Python", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 44, 43, 217
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\check.py", "Python", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 2, 11, 48
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\completion.py", "Python", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 29, 10, 92
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\configuration.py", "Python", 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 40, 40, 267
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\debug.py", "Python", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 14, 46, 205
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\download.py", "Python", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 18, 26, 140
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\freeze.py", "Python", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 6, 12, 85
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\hash.py", "Python", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 7, 11, 56
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\help.py", "Python", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 12, 42
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\index.py", "Python", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 12, 28, 140
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\install.py", "Python", 0, 0, 590, 0, 0, 0, 0, 0, 0, 0, 60, 101, 751
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\list.py", "Python", 0, 0, 256, 0, 0, 0, 0, 0, 0, 0, 32, 50, 338
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\search.py", "Python", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 9, 30, 165
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\show.py", "Python", 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 33, 30, 235
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\uninstall.py", "Python", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 11, 14, 101
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\wheel.py", "Python", 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 20, 28, 177
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\configuration.py", "Python", 0, 0, 225, 0, 0, 0, 0, 0, 0, 0, 113, 66, 404
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\distributions\__init__.py", "Python", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 5, 22
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\distributions\base.py", "Python", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 14, 8, 39
"d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\distributions\installed.py", "Python", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 7, 23
