Date : 2021-12-19 18:35:33
Directory : d:\Github\_java\Java-stuff\1\N-Dimension
Total : 2108 files,  603194 codes, 265774 comments, 144093 blanks, all 1013061 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\configuration.py                                     | Python     |        187 |         40 |         40 |        267 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\debug.py                                             | Python     |        145 |         14 |         46 |        205 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\download.py                                          | Python     |         96 |         18 |         26 |        140 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\freeze.py                                            | Python     |         67 |          6 |         12 |         85 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\hash.py                                              | Python     |         38 |          7 |         11 |         56 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\help.py                                              | Python     |         27 |          3 |         12 |         42 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\index.py                                             | Python     |        100 |         12 |         28 |        140 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\install.py                                           | Python     |        590 |         60 |        101 |        751 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\list.py                                              | Python     |        256 |         32 |         50 |        338 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\search.py                                            | Python     |        126 |          9 |         30 |        165 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\show.py                                              | Python     |        172 |         33 |         30 |        235 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\uninstall.py                                         | Python     |         76 |         11 |         14 |        101 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\commands\wheel.py                                             | Python     |        129 |         20 |         28 |        177 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\configuration.py                                              | Python     |        225 |        113 |         66 |        404 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\distributions\__init__.py                                     | Python     |         12 |          5 |          5 |         22 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\distributions\base.py                                         | Python     |         17 |         14 |          8 |         39 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\distributions\installed.py                                    | Python     |         11 |          5 |          7 |         23 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\distributions\sdist.py                                        | Python     |         70 |         12 |         14 |         96 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\distributions\wheel.py                                        | Python     |         17 |         10 |          8 |         35 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\exceptions.py                                                 | Python     |        166 |        145 |         87 |        398 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\index\__init__.py                                             | Python     |          0 |          2 |          1 |          3 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\index\collector.py                                            | Python     |        321 |        126 |         88 |        535 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\index\package_finder.py                                       | Python     |        610 |        254 |        119 |        983 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\index\sources.py                                              | Python     |        155 |         30 |         40 |        225 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\locations\__init__.py                                         | Python     |        251 |         44 |         57 |        352 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\locations\_distutils.py                                       | Python     |        108 |         37 |         25 |        170 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\locations\_sysconfig.py                                       | Python     |        123 |         63 |         34 |        220 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\locations\base.py                                             | Python     |         28 |         12 |         13 |         53 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\main.py                                                       | Python     |          4 |          6 |          4 |         14 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\metadata\__init__.py                                          | Python     |         18 |         19 |         12 |         49 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\metadata\base.py                                              | Python     |        146 |         61 |         36 |        243 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\metadata\pkg_resources.py                                     | Python     |        105 |         16 |         33 |        154 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\models\__init__.py                                            | Python     |          0 |          2 |          1 |          3 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\models\candidate.py                                           | Python     |         21 |          2 |          9 |         32 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\models\direct_url.py                                          | Python     |        173 |          7 |         41 |        221 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\pip\_internal\models\format_control.py                                      | Python     |         67 |          3 |         15 |         85 |
