Date : 2021-12-19 18:35:33
Directory : d:\Github\_java\Java-stuff\1\N-Dimension
Total : 2108 files,  603194 codes, 265774 comments, 144093 blanks, all 1013061 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\utilities\tmpfiles.py                                                 | Python     |          7 |          0 |          3 |         10 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\__init__.py                                                    | Python     |         36 |          0 |         12 |         48 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\basisdependent.py                                              | Python     |        217 |         81 |         61 |        359 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\coordsysrect.py                                                | Python     |        430 |        539 |         83 |      1,052 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\deloperator.py                                                 | Python     |         29 |         88 |         13 |        130 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\dyadic.py                                                      | Python     |        126 |        117 |         39 |        282 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\functions.py                                                   | Python     |        176 |        304 |         39 |        519 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\implicitregion.py                                              | Python     |        270 |        152 |         79 |        501 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\integrals.py                                                   | Python     |         99 |         72 |         37 |        208 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\operators.py                                                   | Python     |        169 |        161 |         38 |        368 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\orienters.py                                                   | Python     |        153 |        198 |         46 |        397 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\parametricregion.py                                            | Python     |         83 |         75 |         31 |        189 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\point.py                                                       | Python     |         62 |         80 |         10 |        152 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\scalar.py                                                      | Python     |         48 |          9 |         15 |         72 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\tests\__init__.py                                              | Python     |          0 |          0 |          1 |          1 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\tests\test_coordsysrect.py                                     | Python     |        386 |         23 |         54 |        463 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\tests\test_dyadic.py                                           | Python     |         96 |          0 |         22 |        118 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\tests\test_field_functions.py                                  | Python     |        250 |         36 |         37 |        323 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\tests\test_functions.py                                        | Python     |        158 |          3 |         19 |        180 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\tests\test_implicitregion.py                                   | Python     |         73 |          0 |         19 |         92 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\tests\test_integrals.py                                        | Python     |         78 |          0 |         26 |        104 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\tests\test_operators.py                                        | Python     |         31 |          0 |         10 |         41 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\tests\test_parametricregion.py                                 | Python     |         72 |          2 |         23 |         97 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\tests\test_printing.py                                         | Python     |        108 |         41 |         20 |        169 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\tests\test_vector.py                                           | Python     |        189 |          4 |         50 |        243 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Lib\site-packages\sympy\vector\vector.py                                                      | Python     |        257 |        289 |         72 |        618 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Scripts\Activate.ps1                                                                          | PowerShell |        104 |        262 |         34 |        400 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Scripts\activate.bat                                                                          | Batch      |         24 |          0 |         10 |         34 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\Scripts\deactivate.bat                                                                        | Batch      |         15 |          0 |          7 |         22 |
| d:\Github\_java\Java-stuff\1\N-Dimension\env\pyvenv.cfg                                                                                    | Properties |          3 |          0 |          1 |          4 |
| d:\Github\_java\Java-stuff\1\N-Dimension\lib\python\NellipAlg.py                                                                           | Python     |         47 |          1 |          4 |         52 |
| d:\Github\_java\Java-stuff\1\N-Dimension\lib\python\NsphereAlg.py                                                                          | Python     |         78 |          0 |          5 |         83 |
| d:\Github\_java\Java-stuff\1\N-Dimension\src\App.java                                                                                      | Java       |         10 |         15 |          3 |         28 |
| d:\Github\_java\Java-stuff\1\N-Dimension\src\funcs\filesys\FolderCreate.java                                                               | Java       |         70 |         15 |          4 |         89 |
| d:\Github\_java\Java-stuff\1\N-Dimension\src\funcs\filesys\tex\TexFileTemp.java                                                            | Java       |        292 |          0 |          6 |        298 |
| d:\Github\_java\Java-stuff\1\N-Dimension\src\funcs\filesys\tex\nd\TexCommandsNcube.java                                                    | Java       |        137 |          0 |          4 |        141 |
| d:\Github\_java\Java-stuff\1\N-Dimension\src\funcs\filesys\tex\nd\TexCommandsNellip.java                                                   | Java       |        145 |          0 |          3 |        148 |
